Unnamed: 0,Date,Total Production,Year,Translated Predicted Production,Beginning Stock,Total Predicted Supply,Actual Supply,Predicted Demand,Actual Demand,Predicted Ending Stock,Actual Ending Stock,Predicted Close Price,Price
61,2015-02-28,208936.0,2015,1106.5037565125758,482.8038134903928,1589.3075700029683,1534.1729706938404,1153.0740540622207,1035.5357061461905,436.2335159407478,498.63726454765015,126.08546068405153,121.55
62,2015-03-31,217192.0,2015,1137.25444504864,482.8038134903928,1620.058258539033,1534.1729706938404,1153.0740540622207,1035.5357061461905,466.9842044768122,498.63726454765015,122.34376787474226,125.1
63,2015-04-30,204306.0,2015,1089.2586392739645,482.8038134903928,1572.0624527643572,1534.1729706938404,1153.0740540622207,1035.5357061461905,418.98839870213646,498.63726454765015,128.42418822003535,109.4
64,2015-05-31,188830.0,2015,1031.615996858251,482.8038134903928,1514.4198103486438,1534.1729706938404,1153.0740540622207,1035.5357061461905,361.345756286423,498.63726454765015,137.86161140828793,116.3
65,2015-06-30,173848.0,2015,975.8133302343032,482.8038134903928,1458.6171437246958,1534.1729706938404,1153.0740540622207,1035.5357061461905,305.54308966247504,498.63726454765015,150.38996591111743,114.9
66,2015-07-31,173444.0,2015,974.3085727041952,482.8038134903928,1457.112386194588,1534.1729706938404,1153.0740540622207,1035.5357061461905,304.03833213236726,498.63726454765015,150.79147947696651,123.6
71,2015-12-31,154295.0,2016,902.9853005654968,498.63726454765015,1401.6225651131472,1392.2720482797622,969.562744550166,972.122236807625,432.059820562981,420.1498114721372,126.63435956235756,140.0
72,2016-01-31,161423.0,2016,929.5345868887848,498.63726454765015,1428.1718514364352,1392.2720482797622,969.562744550166,972.122236807625,458.60910688626905,420.1498114721372,123.3131154228792,134.2
73,2016-02-29,175071.0,2016,980.3685739454957,498.63726454765015,1479.0058384931458,1392.2720482797622,969.562744550166,972.122236807625,509.44309394297966,420.1498114721372,117.91986823701431,121.4
74,2016-03-31,171781.0,2016,968.1144841582318,498.63726454765015,1466.751748705882,1392.2720482797622,969.562744550166,972.122236807625,497.1890041557158,420.1498114721372,119.11908687331268,147.2
75,2016-04-30,196760.0,2016,1061.1524503576438,498.63726454765015,1559.789714905294,1392.2720482797622,969.562744550166,972.122236807625,590.2269703551278,420.1498114721372,111.26032467139105,124.55
